# Linear energy calibration data for D08
#
# Format: [+/-], [Strip#], [E_0], [E_1], [F_0], [F_1], [F_2]
#
# Gives linear coefficients to calculate both energy and energy FWHM
# from ADC channels.  If C is the energy in ADC channels, then
#    E = E_0 + E_1*C
# is the corresponding energy in keV.  Once E is calculated, then
#    F = sqrt(F_0 + F_1*E + F_2*E^2)
# is the energy resolution in keV FWHM at energy E.
#
# This file created on: Thu Mar 19 13:38:41 2009
# Data file used in analysis: dump_data_log_090312_D0-D9_Co60_back.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Co60_front.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Cs137_back.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Cs137_front.txt
# Data file used in analysis: dump_data_log_090314_D0-D9_Am241_Ba133_Co57_I129.txt
# Nuclear lines used in analysis: Co-60 1333 keV, Co-60 1173 keV, Cs-137 662 keV, Am-241 60 keV, Ba-133 81 keV, Co-57 122 keV, Ba-133 276 keV, Ba-133 303 keV, Ba-133 356 keV, Ba-133 384 keV, I-129 30 keV
#
# Analysis performed by Mark Bandstra.
#
+,  1,   -1.6680,  0.227497,  3.279061,  0.0041854,  0.000000000
+,  2,   -1.7081,  0.230887,  3.478612,  0.0108696,  0.000000000
+,  3,   -1.6107,  0.226532,  4.606606,  0.0046580,  0.000000000
+,  4,   -1.4137,  0.225440,  3.879674,  0.0000000,  0.000016037
+,  5,   -1.6712,  0.227151,  2.638774,  0.0077556,  0.000000000
+,  6,   -1.5279,  0.224264,  2.700893,  0.0102063,  0.000000000
+,  7,   -1.5822,  0.226579,  3.518314,  0.0077232,  0.000000537
+,  8,   -1.6920,  0.223639,  3.376727,  0.0068429,  0.000001580
+,  9,   -1.3566,  0.223598,  4.161890,  0.0000000,  0.000020947
+, 10,   -1.4472,  0.229165,  3.740959,  0.0059715,  0.000001541
+, 11,   -1.4519,  0.222646,  3.250526,  0.0080519,  0.000001696
+, 12,   -1.6166,  0.227064,  4.114966,  0.0003731,  0.000000000
+, 13,   -1.5040,  0.227822,  3.745550,  0.0032878,  0.000005277
+, 14,   -1.5640,  0.224388,  4.112343,  0.0000000,  0.000000000
+, 15,   -1.7764,  0.225379,  4.633059,  0.0069784,  0.000000000
+, 16,   -1.7577,  0.228149,  3.987562,  0.0000000,  0.000006217
+, 17,    3.3073,  0.221088,  4.273635,  0.0000000,  0.000004069
+, 18,   -1.6414,  0.225140,  3.956161,  0.0000000,  0.000004149
+, 19,   -1.3624,  0.225909,  4.064732,  0.0000000,  0.000004741
+, 20,   -1.1508,  0.229355,  4.060648,  0.0005328,  0.000005011
+, 21,   -1.3590,  0.227052,  3.391872,  0.0027535,  0.000002837
+, 22,   -1.6245,  0.225483,  3.910910,  0.0042271,  0.000001688
+, 23,   -1.6789,  0.222719,  3.882988,  0.0006793,  0.000003806
+, 24,   -1.2769,  0.225973,  4.940337,  0.0000000,  0.000006265
+, 25,   -1.7486,  0.223155,  4.049481,  0.0028083,  0.000003031
+, 26,   -1.6197,  0.226110,  3.814290,  0.0033844,  0.000001159
+, 27,   -1.3465,  0.221689,  3.823980,  0.0000000,  0.000005054
+, 28,   -1.5972,  0.226540,  3.651539,  0.0027620,  0.000002390
+, 29,   -1.3885,  0.225159,  3.897592,  0.0034888,  0.000002415
+, 30,   -1.1755,  0.224495,  3.981392,  0.0027942,  0.000003402
+, 31,   -1.7062,  0.227388,  3.232715,  0.0071864,  0.000000000
+, 32,   -1.3867,  0.227948,  3.976042,  0.0067012,  0.000000000
+, 33,   -1.8523,  0.224959,  3.145158,  0.0039417,  0.000003446
+, 34,   -1.6942,  0.228354,  4.265879,  0.0068035,  0.000000000
+, 35,   -1.9093,  0.227321,  3.023813,  0.0092955,  0.000000277
+, 36,   -1.9235,  0.223880,  3.202631,  0.0090252,  0.000000000
+, 37,   -2.1988,  0.223705,  0.170192,  0.0199665,  0.000000000
-,  1,   -0.7357,  0.218157,  3.868383,  0.0026365,  0.000000000
-,  2,   -0.8171,  0.228313,  3.876980,  0.0030136,  0.000000000
-,  3,   -1.2980,  0.226826,  4.137311,  0.0017976,  0.000000000
-,  4,   -1.6373,  0.229508,  4.567983,  0.0000000,  0.000002290
-,  5,   -1.5309,  0.226327,  4.391457,  0.0000000,  0.000002685
-,  6,   -1.5126,  0.231793,  4.524713,  0.0000000,  0.000002801
-,  7,   -1.6263,  0.225276,  4.200550,  0.0000000,  0.000002176
-,  8,   -1.6021,  0.226521,  4.925471,  0.0012808,  0.000000000
-,  9,   -1.5103,  0.224469,  4.061536,  0.0022792,  0.000000000
-, 10,   -1.3773,  0.228303,  5.446981,  0.0000000,  0.000001656
-, 11,   -0.8639,  0.227266,  5.435456,  0.0022158,  0.000000000
-, 12,   -1.4251,  0.225567,  4.495150,  0.0000000,  0.000002091
-, 13,   -1.4152,  0.223083,  4.007375,  0.0000169,  0.000003615
-, 14,   -1.5023,  0.223467,  4.978130,  0.0018676,  0.000000000
